Station;Ligne;Corresp. 1;Corresp. 2;Corresp. 3;Sens;Terminus 1;Terminus 2;Lat;Lon;Geopoint;Geopoint2;
Morelos;12;4;0;0;16;Ciudad Azteca;Buenavista;19.438426;-99.11933;19.438426,-99.11933;-99.11933,19.438426;
Múzquiz;12;0;0;0;5;Ciudad Azteca;Buenavista;19.50096117;-99.04171586;19.50096117,-99.04171586;-99.04171586,19.50096117;
Nezahualcóyotl;12;0;0;0;8;Ciudad Azteca;Buenavista;19.472534;-99.054375;19.472534,-99.054375;-99.054375,19.472534;
Oceanía;12;5;0;0;12;Ciudad Azteca;Buenavista;19.44572255;-99.08683062;19.44572255,-99.08683062;-99.08683062,19.44572255;
Olímpica;12;0;0;0;3;Ciudad Azteca;Buenavista;19.52084286;-99.03298259;19.52084286,-99.03298259;-99.03298259,19.52084286;
Plaza Aragón;12;0;0;0;2;Ciudad Azteca;Buenavista;19.52822456;-99.02979612;19.52822456,-99.02979612;-99.02979612,19.52822456;
R. Flores Magón;12;0;0;0;14;Ciudad Azteca;Buenavista;19.43628327;-99.10342813;19.43628327,-99.10342813;-99.10342813,19.43628327;
Río de los Remedios;12;0;0;0;6;Ciudad Azteca;Buenavista;19.49024062;-99.04635072;19.49024062,-99.04635072;-99.04635072,19.49024062;
Romero Rubio;12;0;0;0;13;Ciudad Azteca;Buenavista;19.44048194;-99.09420133;19.44048194,-99.09420133;-99.09420133,19.44048194;
San Lázaro;12;1;0;0;15;Ciudad Azteca;Buenavista;19.431822;-99.114463;19.431822,-99.114463;-99.114463,19.431822;
Tepito;12;0;0;0;17;Ciudad Azteca;Buenavista;19.44256606;-99.12323356;19.44256606,-99.12323356;-99.12323356,19.44256606;
Villa de Aragón;12;0;0;0;9;Ciudad Azteca;Buenavista;19.4613523;-99.06114578;19.4613523,-99.06114578;-99.06114578,19.4613523;
;;;;;;;;;;;;
